"fullname","id","images/0","isQuote","isRetweet","likes","quotes","replies","retweets","text","timestamp","url","username","verified"
"🤍 ADHD Dr. Barbie ⁰-¹ 🤍 Jacki","1698457008200880559",,"false","false","1","0","0","0","Men who respect women","2023-09-03T22:04:00.000Z","https://twitter.com/introdahyun/status/1698457008200880559","@introdahyun","false"
"sasamiyaforeva","1698456892756943117",,"false","false","0","0","0","0","not rly, cz Luz is practically the only one who has suffered more trauma: the loss of her father, bringing near destruction to the Boiling Isles, having adhd therefore being seen as weird, having a difficult childhood and so on. Amity suffered simply the parental separation","2023-09-03T22:04:00.000Z","https://twitter.com/eveclarisforeva/status/1698456892756943117","@eveclarisforeva","false"
"Fern || They/She","1698456857310793864",,"false","false","0","0","0","0","Aroace, Agender being with Adhd and I just tweet random nonsense ig idrk","2023-09-03T22:04:00.000Z","https://twitter.com/sanna4534/status/1698456857310793864","@sanna4534","false"
"my therapist say i got ADHD 😔","1698456767519244623",,"false","false","0","0","0","0","I’ll get to it when I get to it","2023-09-03T22:03:00.000Z","https://twitter.com/crablegluver/status/1698456767519244623","@crablegluver","false"
"Marianna Polite Shuite: 🏳️‍⚧️🏳️‍🌈🏴‍☠️","1698456574539268534",,"false","false","0","0","0","0","I get burnt out all the time. ADHD and some 'tism sure make for a fun time!","2023-09-03T22:02:00.000Z","https://twitter.com/Veedubgrrl/status/1698456574539268534","@Veedubgrrl","false"
"Aster Spice 💫","1698456572710604994",,"false","false","0","0","0","0","Who needs ADHD meds when you have coffee","2023-09-03T22:02:00.000Z","https://twitter.com/AsterSpice/status/1698456572710604994","@AsterSpice","false"
"🌈Beck || she/her📚","1698456488526700572",,"false","false","1","0","0","0","Like I’m ADHD, autistic, have two different chronic pain disorders and I’m developing a third… possibly a fourth, and have other related disabilities. I hope I have a neurotypical child w/o pain bc life is easier that way, but I’ll embrace whatever child I have","2023-09-03T22:02:00.000Z","https://twitter.com/muffinsplanned/status/1698456488526700572","@muffinsplanned","false"
"🤍 ADHD Dr. Barbie ⁰-¹ 🤍 Jacki","1698456183965659580",,"false","false","0","0","0","0","Fucking love that album","2023-09-03T22:01:00.000Z","https://twitter.com/introdahyun/status/1698456183965659580","@introdahyun","false"
"Jae 🧜🏽‍♀️","1698456134674153770",,"false","false","0","0","0","0","Did you know adhd makes you clumsy? Anyway, I’m going to a balance workshop now.","2023-09-03T22:01:00.000Z","https://twitter.com/jaefiera/status/1698456134674153770","@jaefiera","false"
"Francisco Gonzalez","1698456080081174915",,"false","false","1","0","0","0","That’s when my ADHD kicks in and perform at my best","2023-09-03T22:00:00.000Z","https://twitter.com/Javy_17/status/1698456080081174915","@Javy_17","false"
"The New Vibes","1698455980239978817",,"false","false","0","0","0","0","Sounds promising! A 7-day trial of the Sensa app packed with CBT techniques and calming exercises to manage ADHD? Exciting!!","2023-09-03T22:00:00.000Z","https://twitter.com/growyourvibes/status/1698455980239978817","@growyourvibes","false"
"Antron Supports the WGA & SAG🎥","1698455882768543962",,"false","false","0","0","0","0","I know that I have ADHD but I'm only like 95% sure on the Autism part","2023-09-03T22:00:00.000Z","https://twitter.com/Cineph1leantron/status/1698455882768543962","@Cineph1leantron","false"
"The Saltiest Spoon","1698455823498748354",,"false","false","0","0","0","0","If I skip my ADHD medication, I can do this cool trick where I wake up in a different dimension in the afternoon","2023-09-03T21:59:00.000Z","https://twitter.com/SaltiestSpoon/status/1698455823498748354","@SaltiestSpoon","false"
"K.I.D.Goggles","1698455726501347665",,"false","false","0","0","0","0","And sometimes it's both! I don't know if you know that meme about how there's about 50 furries in high end IT that are the only reason every major server that holds up our infrastructure continues to work every day.

And it's actually pretty close to the truth","2023-09-03T21:59:00.000Z","https://twitter.com/KIDGoggles/status/1698455726501347665","@KIDGoggles","false"
"Creed Compati","1698455717307351395",,"false","false","0","0","0","0","This movie was a fever dream. That being said, I can't really remember the plot, just that it was crazy. Even for my ADHD-sugar-fiend ass.","2023-09-03T21:59:00.000Z","https://twitter.com/Creed_Compati/status/1698455717307351395","@Creed_Compati","false"
"Liz ADHD Taylor","1698455709954813980",,"false","false","1","0","0","0","That’s a lot, Ben. I’m really sorry. 💙","2023-09-03T21:59:00.000Z","https://twitter.com/introvertnfj/status/1698455709954813980","@introvertnfj","false"
"K.I.D.Goggles","1698455688219971923",,"false","false","0","0","1","0","Not necessarily more intense.

Just more willing to break from conventional rules.

Autistic people are predisposed to get hyper fixated on niche things. Sometimes that means trains and coding, but as they get older sometimes that means having sex in a fursuit","2023-09-03T21:59:00.000Z","https://twitter.com/KIDGoggles/status/1698455688219971923","@KIDGoggles","false"
"faerie 💖🔞 comms open","1698455331649585218",,"false","false","0","0","1","0","on a slightly serious note though, i often feel like i'm not a gold star autistic because i'm not a genius or i didn't go to uni and put years of my life into the one subject etc, my silly little hybrid autistic/adhd brain is to thank for that + i apologise to my ancestors 🙏🏻","2023-09-03T21:58:00.000Z","https://twitter.com/faeriethistle/status/1698455331649585218","@faeriethistle","false"
"✧🧸✧","1698455305602884091",,"false","false","0","0","0","0","I can’t believe that KFC refuses to share their recipe’s secret when it’s meant for financial gain, when whom I mentioned above are responsible for people’s lives yet their job has less secrecy 😶","2023-09-03T21:57:00.000Z","https://twitter.com/InnaWithADHD/status/1698455305602884091","@InnaWithADHD","false"
"Kristen, Shield of Emeria","1698455278683848742",,"false","false","2","0","0","0","We still have that three weeks in autumn babe 

We live for it","2023-09-03T21:57:00.000Z","https://twitter.com/TheKristenEmily/status/1698455278683848742","@TheKristenEmily","false"
"Sacha","1698455189009600931",,"false","false","0","0","0","0","Lol thanks... 😂
I'm an ex midwife. I've worked on a NNU. I can relate to her. I'm not saying she's guilty or not guilty. Just that this trial stinks. Oh and my adhd makes me Hyperfocus, and I'm gripped by this case!","2023-09-03T21:57:00.000Z","https://twitter.com/XsashkieX/status/1698455189009600931","@XsashkieX","false"
"🦖LEO🪐","1698454957064589640",,"false","false","1","0","1","0","at first i didnt even know what they were talkin about i was like ""what ab adhd???"" 😭😭😭","2023-09-03T21:56:00.000Z","https://twitter.com/teetleneedles/status/1698454957064589640","@teetleneedles","false"
"Altaira Morbius","1698454791058305477",,"false","false","0","0","0","0","That all depends on whether the adhd or the autism is in charge that day.","2023-09-03T21:55:00.000Z","https://twitter.com/Altair4_2381/status/1698454791058305477","@Altair4_2381","false"
"Yllek 🦋🦎🐝🐞 Just me","1698454612385108437",,"false","false","2","0","1","0","Morning Kel.
Yes, today truly sucks. I wanted sun so I could finish at least one thing I started but no, no UV for me, no resin curing cause adhd brain lost the UV nail lamp two months ago.
Anyhow, going to try & make the most of the other time I have today...If I can ☕️💓","2023-09-03T21:55:00.000Z","https://twitter.com/AjratYllek/status/1698454612385108437","@AjratYllek","false"
"Bianca (DustyError)","1698454465135718820",,"false","false","0","0","0","0","The time dilation my ADHD gives me makes it seem like I move way too fast... I think that's why everyone tells me to slow down so much. To them, I'm zipping & zooming, while to me, everyone seem like they are going slow.

This makes me do a lot of things pre-emptively. I'm sorry","2023-09-03T21:54:00.000Z","https://twitter.com/DustyError/status/1698454465135718820","@DustyError","false"
"vuz !!🍰 basils biggest fan","1698454298907054554",,"false","false","1","0","0","0","MOM LEAVE ME ALONE I WANNA BE FAMOUS  I WANNA BE FAMOUS, MY THERAPIST SAYS I GOT ADHD I DONT EVEN KNOW WHAT THAT MEANS","2023-09-03T21:53:00.000Z","https://twitter.com/Vuz88126896/status/1698454298907054554","@Vuz88126896","false"
"Melissa Libby","1698454281907568733",,"false","false","0","0","0","0","Thanks to being sick so much, finally finished 1 dissertation, hoping to have the other done this week. Just got home from a motorcycle ride, have video footage to edit, & ate too much, so I want to take a nap. But, I was able to wear my new motorcycle pants! OK, ADHD blurb over.","2023-09-03T21:53:00.000Z","https://twitter.com/mockingbird74/status/1698454281907568733","@mockingbird74","false"
"Bill - ADHD & Me - Kelly","1698454183962116364",,"false","false","0","0","0","0","Not unlike a third of a gopher; is a goto phrase around here.","2023-09-03T21:53:00.000Z","https://twitter.com/BillykII/status/1698454183962116364","@BillykII","false"
"✧🧸✧","1698454173988102171",,"false","false","0","0","1","0","have you ever thought of how weird some police officers and forensic scientists share their career secrets with the public?
it’s like… if you want to commit a crime you can check how previous criminals were caught and learn to conceal your upcoming crime more professionally.","2023-09-03T21:53:00.000Z","https://twitter.com/InnaWithADHD/status/1698454173988102171","@InnaWithADHD","false"
"renno⁷ (gayoꪜer) INTERNATIONAL BABY STAR CANDY DAY","1698454128022683718",,"false","false","1","0","1","0","ahh fair enough - i have adhd so it's really hard for me to properly get into books/films/shows if i'm under time pressure. hopefully you finish it by wednesday !!!","2023-09-03T21:53:00.000Z","https://twitter.com/punklesbian27/status/1698454128022683718","@punklesbian27","false"
"Rotten 👻🦴💚 - Cringy Lewdtuber 🔞","1698454122507211103",,"false","false","0","0","0","0","ADHD, that's how.","2023-09-03T21:53:00.000Z","https://twitter.com/RIPRottenVT/status/1698454122507211103","@RIPRottenVT","false"
"MyIsland","1698454030131789953",,"false","false","1","0","0","0","My son has a speach delay even at 11. Adhd and a learning disability. Some how I’ve raised him without being a bigot.","2023-09-03T21:52:00.000Z","https://twitter.com/75opinionated/status/1698454030131789953","@75opinionated","false"
"PitLordKazzy","1698454005867770262",,"false","false","0","0","1","0","Lithium is used to treat ADHD in some cases. I'm still not wrong, but that's gonna make you upset for some reason.","2023-09-03T21:52:00.000Z","https://twitter.com/PitLordKazzy/status/1698454005867770262","@PitLordKazzy","false"
"Miss ADHD UK","1698453991724638649",,"false","false","0","0","0","0","Would be great to hear your take on Learning to manage dopamine. I’m assuming you mean thing like managing or detoxing social media etc? Also, the rest of the list are literally my dieticians recommendations minus fruit fast, personally my health required little to no sugar atm","2023-09-03T21:52:00.000Z","https://twitter.com/mentallynotill/status/1698453991724638649","@mentallynotill","false"
"LithiumFox | Sim Racing Battery Fox","1698453808798429426",,"false","false","0","0","2","0","The real question is, how could you make a joke like that without making sure that someone actually is bipolar?

It's a reference to having ADHD. An energizer bunny. Thought the ""battery fox"" aspect would give it away.","2023-09-03T21:51:00.000Z","https://twitter.com/lithiumfox/status/1698453808798429426","@lithiumfox","false"
"good jellomens","1698453805363261836",,"false","false","0","0","1","0","god. they are so me. they are so BOTH me. i kin both of them. crowley is my adhd and azi is my autism it just works","2023-09-03T21:51:00.000Z","https://twitter.com/jellovella/status/1698453805363261836","@jellovella","false"
"scraftyPLS","1698453713512194278",,"false","false","0","0","0","0","“MY THERAPIST SAYS I GOT ADHD!!!” been living rent-free LMAO","2023-09-03T21:51:00.000Z","https://twitter.com/scraftyPLS/status/1698453713512194278","@scraftyPLS","false"
"✨izi✨- ADHD Tears Arc📖","1698453683212521615",,"false","false","2","0","0","0","Yesss, all the sparkles
 (This is a good amount, but I would never say no to more sparkles.)","2023-09-03T21:51:00.000Z","https://twitter.com/izi_izzzi/status/1698453683212521615","@izi_izzzi","false"
"naomi regan","1698453563968487596",,"false","false","0","0","0","0","Not necessarily related to theses symptoms…but I’d be wondering about homocysteine , folate, B12 levels w/a history of ADHD….dizzy stuff sounds like POTS.","2023-09-03T21:51:00.000Z","https://twitter.com/aquarius1768/status/1698453563968487596","@aquarius1768","false"
"This is the Dave speaking","1698453552413245812",,"false","false","0","0","0","0","Did not know there was a shortage of ADHD meds (Vyvanse in particular) no notification from the doc or chemist.

So kids who need it to function like normal people at school, you don’t reckon parents would like to know??

Anyway PSA it’s running out cause its going generic","2023-09-03T21:50:00.000Z","https://twitter.com/Sharkydave44/status/1698453552413245812","@Sharkydave44","false"
"Amy Bresnen","1698453353255043261",,"false","false","1","0","0","0","F Burning Man. Those people represent everything I hate. I didn’t even go to festivals in undergrad. Boring. It’s not made for ADHD people. We need actual meaning in our lives.","2023-09-03T21:50:00.000Z","https://twitter.com/amy_bresnen/status/1698453353255043261","@amy_bresnen","false"
"(((BD Squirrel)))","1698453144957489593",,"false","false","0","0","0","0","Well if you're anything like me you'll spend about a week picking out the things you need, then said suitcase is going to end up in a closet or under the ginormous ever-present pile of laundry and stuff and at some point will just chalk it up to being pre-packed for the next trip","2023-09-03T21:49:00.000Z","https://twitter.com/squirrel_bd/status/1698453144957489593","@squirrel_bd","false"
"Matt Drury","1698453108605514040",,"false","false","2","0","0","0","And the EH too","2023-09-03T21:49:00.000Z","https://twitter.com/MattDrury559/status/1698453108605514040","@MattDrury559","false"
"TDM1","1698452935078785269",,"false","false","0","0","1","0","I think whats also nuts, is that it seems to specifically happen with ADHD only? Something about accidental ADHD writing feels more genuine than if a character is meant to have ADHD, to me personally, an ADHD person","2023-09-03T21:48:00.000Z","https://twitter.com/TelliDM1/status/1698452935078785269","@TelliDM1","false"
"Lego Horror Videos","1698452896491184634",,"false","false","0","0","1","0","Thread : 

Rihanna Navy, I’m about to add my favourite performances by Rihanna of each song she’s performed live. 

I might forget to stay consistent so bare with me and my ADHD brain.","2023-09-03T21:48:00.000Z","https://twitter.com/legohorrorman/status/1698452896491184634","@legohorrorman","false"
"Brendan Mahan, M.Ed., ADHD & Neurodivergent Coach","1698452589900189788",,"false","false","0","0","0","0","Glad you dig it!","2023-09-03T21:47:00.000Z","https://twitter.com/adhdessentials/status/1698452589900189788","@adhdessentials","false"
"False hitman","1698452526322901208",,"false","false","1","0","0","0","I’ll never understand these muslimah riding tate. Despicable","2023-09-03T21:46:00.000Z","https://twitter.com/nabil_hitman/status/1698452526322901208","@nabil_hitman","false"
"Void Shouter","1698452393782866078",,"false","false","2","0","1","0","Blanton's at a draft good grief","2023-09-03T21:46:00.000Z","https://twitter.com/Josh_ADHD/status/1698452393782866078","@Josh_ADHD","false"
"✶. 🎀 𝓌𝒾𝓃𝓉𝑒𝓇 𝒹𝑒𝓅𝓇𝑒𝓈𝓈𝒾⏾𝓃 🎀 .✶","1698452251306561635",,"false","false","1","0","1","0","this is me in the summer, then in the winter i hibernate 😭😭.","2023-09-03T21:45:00.000Z","https://twitter.com/my_adhd_diaries/status/1698452251306561635","@my_adhd_diaries","false"
"Elena T. ⚢","1698452065821810834",,"false","false","1","0","1","0","Honestly it's just my adhd brain keeping me in the post 10PM purgatory where your thoughts just never stop racing","2023-09-03T21:45:00.000Z","https://twitter.com/Mecha_Madoka/status/1698452065821810834","@Mecha_Madoka","false"
"Kristen, Shield of Emeria","1698451951573172446",,"false","false","1","0","1","0","If there’s anything getting me in bed and up early it’s the heatwave this week 

I need to go outside like, EARLY","2023-09-03T21:44:00.000Z","https://twitter.com/TheKristenEmily/status/1698451951573172446","@TheKristenEmily","false"
"Matt Ryno","1698451939543957912",,"false","false","0","0","0","0","Its weird because i really dont care. At the same time i dont get why its needed. Its one of those things im not going to fuss about but since i have ADHD have to wonder why it has to be there.","2023-09-03T21:44:00.000Z","https://twitter.com/damion5tclaire/status/1698451939543957912","@damion5tclaire","false"
"TDM1","1698451773755634024",,"false","false","0","0","1","0","ADHD character: -exists-
Me: Cool :)
Character: -just seems vaguely ADHD coded-
Me: YESSSS","2023-09-03T21:43:00.000Z","https://twitter.com/TelliDM1/status/1698451773755634024","@TelliDM1","false"
"Volunteer for Jane (Black Lives Matter)","1698451768491827268",,"false","false","0","0","0","0","I'm not sure if I have ADHD but I definitely have ""racing brain""","2023-09-03T21:43:00.000Z","https://twitter.com/bulbouscorm/status/1698451768491827268","@bulbouscorm","false"
"ADHD posting🏳️‍⚧️ ( School :c )","1698451634609639424",,"false","false","2","0","1","0","God fucking dammit steam posting","2023-09-03T21:43:00.000Z","https://twitter.com/PaisensADHD/status/1698451634609639424","@PaisensADHD","false"
"BriPolarOutOfOrder🚫","1698451588728111507",,"false","false","0","0","0","0","nah, you're too focused. Always planned, seek out your goals, and accomplish them. Multitasking is not an issue.  I just can't see any ADHD in you. ohhh, okay, juset one, poor time management! run bri runnnn
🏃‍♂️💨💨","2023-09-03T21:43:00.000Z","https://twitter.com/BriPolarOffical/status/1698451588728111507","@BriPolarOffical","false"
"mae || happy era","1698451457878479002",,"false","false","0","0","0","0","and the adhd method is pretty good too, as well as the julia method <33","2023-09-03T21:42:00.000Z","https://twitter.com/hydraswidow/status/1698451457878479002","@hydraswidow","false"
"Zord","1698451435380244507",,"false","false","1","0","1","0","Oh undoubtedly. Anyone that even remotely had parents verbally fighting, even in one occurrence may be affected while growing up. Requiring treatment. There is so little research on the subject. It boggles my mind. 9/10 kids are supposed to be adhd, but no one cares about why.","2023-09-03T21:42:00.000Z","https://twitter.com/Lord_Zord0/status/1698451435380244507","@Lord_Zord0","false"
"Redowan Delowar","1698451279071060458",,"false","false","1","0","0","0","Nope. Sounds like a horrible idea to inject self-induced adhd into my psyche.","2023-09-03T21:41:00.000Z","https://twitter.com/rednafi/status/1698451279071060458","@rednafi","false"
"Spvwvky 👻 VTuber | Music & Motion Graphics","1698451270162403837",,"false","false","0","0","0","0","It's hard to put it into one word tbh. It'd probably be more effective to send someone resources that talk about ADHD/Autistic memory skills and how it affects us on a personal level if your intention is to get them to be more understanding (and they are willing to check it out) - plus the nice bonus is that published sources are typically a lot better at articulating these concepts than we are since we often use emotions and how we feel to explain what things are like. Luckily these days you can find tons of useful resources with a single Google search to help people learn about neurodivergence which I think really lends to the growing number of people that exist online that are more aware of the presence of ND people around them.

One of the problems is that anything even remotely close to ""I forgot"" sounds negligent to NT people cause they don't struggle with the same types of memory retention problems and can't really imagine it being such a common invasive problem in daily life. Object permanence can certainly get the way we perceive it across, but I still think it's important to make a distinction that you're only using it to describe how it feels, now how it actually is. A lot of people will just say that it IS object permanence but depending on the receiving person's understanding of that concept, it can skew how they interpret what you're describing.

Ultimately I think if we want to educate people about how to better help ND people it should be done in a way that doesn't perpetuate a false representation of what's happening, if that makes sense?

I wasn't trying to make this long but it's hard to keep topics like this short without feeling like people misread me LOL","2023-09-03T21:41:00.000Z","https://twitter.com/Spvwvky/status/1698451270162403837","@Spvwvky","true"
"my therapist say i got ADHD 😔","1698451197231845561",,"false","false","0","0","0","0","Or about any of my goals or ambitions, I’m just black","2023-09-03T21:41:00.000Z","https://twitter.com/crablegluver/status/1698451197231845561","@crablegluver","false"
"SKULL 🌟","1698451087743725702",,"false","false","10","0","1","0","BEING AUTISTIC AND HAVING FRIENDS WITH ADHD IS SOOO GREAT UNTIL YOU HAVE TIME SENSITIVE PLANS.","2023-09-03T21:41:00.000Z","https://twitter.com/skulltrot/status/1698451087743725702","@skulltrot","false"
"apollo","1698450955505664023",,"false","false","2","0","0","0","i need adhd meds asap bc why did i just search 'paramore interview lane zowe' on ytb 💀","2023-09-03T21:40:00.000Z","https://twitter.com/pmoreforarmor/status/1698450955505664023","@pmoreforarmor","false"
"Jonno Riekwel 🇳🇱 🇳🇿","1698450881203618032",,"false","false","0","0","0","0","I’m the most productive when I’m supposed to be doing something else.

Also I’m pretty sure it’s called ADHD (or not. Not everything is adhd)","2023-09-03T21:40:00.000Z","https://twitter.com/Jonnotie/status/1698450881203618032","@Jonnotie","false"
"Kc ꩜ 🐇","1698450651582275954",,"false","false","1","0","0","0","it’s so good! i haven’t finished it, i always get distracted by something else (adhd brain) but i neeeeed to.","2023-09-03T21:39:00.000Z","https://twitter.com/hopedrunk7/status/1698450651582275954","@hopedrunk7","false"
"Mary Tataryn 🌈🌼🐘🌻🌺","1698450645420769367",,"false","false","0","0","0","0","Are you taking medication for your ADHD?","2023-09-03T21:39:00.000Z","https://twitter.com/TatarynMary/status/1698450645420769367","@TatarynMary","false"
"jan","1698450539548201281",,"false","false","0","0","0","0","Woahhh yeah adhd meds can feel a bit weird at first but you get used to it, if it doesn't make u feel right change it but give it a few weeks to get used","2023-09-03T21:38:00.000Z","https://twitter.com/zhaopIanet/status/1698450539548201281","@zhaopIanet","false"
"𝕻𝖆𝖗𝖆","1698450304352625020",,"false","false","4","0","0","0","Someone posted a Jolteon cross stitch kit for sale and now I'm suddenly interested in cross stitch adhd don't do this to me","2023-09-03T21:38:00.000Z","https://twitter.com/KNIFECATTE/status/1698450304352625020","@KNIFECATTE","false"
"Carol, Republicans are a gang of fascists","1698450303111110788",,"false","false","0","0","0","0","I was diagnosed when I was 35. I was angry about how hard I'd had to work to be a successful college student, & for all the ADHD things I and others had criticised me for. I still get pissed off about it occasionally, 30 years later. I'm a lot easier on myself for knowing.","2023-09-03T21:38:00.000Z","https://twitter.com/CR_1257/status/1698450303111110788","@CR_1257","false"
"bipolar NY fan","1698450290272358903",,"false","false","1","0","0","0","You forgot that hurts fumbled in his own red zone and it was recovered for a TD","2023-09-03T21:37:00.000Z","https://twitter.com/sports_and_adhd/status/1698450290272358903","@sports_and_adhd","false"
"Gary Lung","1698450265999892785",,"false","false","0","0","0","0","For the suicidal kids that were lied to. For all the kids that had ADHD undiagnosed, and nobody ever thought it was a problem. 🍀🌚🍑🍻🎖️🎰🛟📡🪫🔦🪝⚰️🚬💣🔮💉💊🕳️🩸🗝️🎈🧭📊✂️🖇️🔍💔💯🎵♦️♥️♠️♣️🇺🇸","2023-09-03T21:37:00.000Z","https://twitter.com/ArtificialGaryy/status/1698450265999892785","@ArtificialGaryy","false"
"BŁÜ M00N 🌊","1698450254394273876",,"false","false","0","0","0","0","Feel like that man trying to teach himself to read trying to force myself to sit study cause I cant focus more than 10min at a time (ADHD) but I NEED to get ahead to relieve some anxiety","2023-09-03T21:37:00.000Z","https://twitter.com/0ceanHVZE/status/1698450254394273876","@0ceanHVZE","false"
"Noveen","1698450240695566825",,"false","false","0","0","0","0","People who were in their 20s in the 70s are in their 70s in the 20s… 

Why does that work?!

Does it work because they were born in the 50s? 

#ADHD","2023-09-03T21:37:00.000Z","https://twitter.com/vega9264/status/1698450240695566825","@vega9264","false"
"big papa pickle","1698450175071605233",,"false","false","0","0","0","0","jose's ear piercing is an adhd trap n kevin would absentmindedly start pinching his earlobe for no rzn","2023-09-03T21:37:00.000Z","https://twitter.com/tokobokos/status/1698450175071605233","@tokobokos","false"
